arm,score_key,k,original_proxy_mean,original_proxy_gain,fixed_vocal_proxy_mean,fixed_vocal_proxy_gain,counterfactual_gain_retention,fixed_vocal_beat_v2,fixed_vocal_beat_v5_madmom,fixed_vocal_beat_v5_beat_this,fixed_vocal_coverage
beat_v5_detector_ensemble_coverage_raw,beat_v5_detector_ensemble_coverage_raw,4,0.6957728134591787,0.006051101931251024,0.6923202561670423,0.002598544639114575,0.4294332947350209,0.654409298056839,0.5505381846342959,0.5297290128541836,0.8410387182931593
beat_v5_detector_ensemble_coverage_raw,beat_v5_detector_ensemble_coverage_raw,8,0.704292812877326,0.014571101349398319,0.6815017037114437,-0.00822000781648402,-0.5641308518400668,0.5585633393701342,0.5247797233954083,0.5039980097610481,0.8451509219055993
beat_v5_detector_ensemble_coverage_raw,beat_v5_detector_ensemble_coverage_raw,16,0.7301601710454487,0.04043845951752101,0.6829713064630354,-0.006750405064892329,-0.16693032191217722,0.385471815311118,0.5015505923986667,0.44648842359614416,0.8827460767949115
beat_v2_coverage_frozen_std,beat_v2_coverage_frozen_std,1,0.49458526924740664,0.0,0.49458526924740664,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v2_coverage_frozen_std,beat_v2_coverage_frozen_std,2,0.6585957622879384,0.16401049304053172,0.5488682663505049,0.05428299710309825,0.3309727084942264,0.7579807266282675,0.5682412784824434,0.5461438496058799,0.8237841385065423
beat_v2_coverage_frozen_std,beat_v2_coverage_frozen_std,4,0.6679668137416797,0.173381544494273,0.36969826441329995,-0.1248870048341067,-0.7203016053316554,0.6476866089812088,0.547988889590321,0.5270738514084854,0.8255706235408076
beat_v2_coverage_frozen_std,beat_v2_coverage_frozen_std,8,0.7155214715231282,0.22093620227572153,0.11157150325454294,-0.3830137659928637,-1.7335944134446304,0.4993979710136717,0.4676603823315889,0.4460867008813926,0.8246867467933857
beat_v2_coverage_frozen_std,beat_v2_coverage_frozen_std,16,0.8409353076862505,0.3463500384388438,0.20716022745805884,-0.2874250417893478,-0.8298686585539369,0.47775309334365024,0.4587561573939192,0.46128803076215585,0.8499634018813493
beat_v5_coverage_frozen_std,beat_v5_coverage_frozen_std,1,0.5395222153144937,0.0,0.5395222153144937,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_coverage_frozen_std,beat_v5_coverage_frozen_std,2,0.6018824878749724,0.06236027256047871,0.5637695636435582,0.0242473483290645,0.38882684974714876,0.654409298056839,0.5505381846342959,0.5297290128541836,0.8410387182931593
beat_v5_coverage_frozen_std,beat_v5_coverage_frozen_std,4,0.627992640106326,0.08847042479183231,0.47694542382931815,-0.06257679148517559,-0.7073187636706447,0.6182071122644892,0.547190187631567,0.4889701042352663,0.8278694882848909
beat_v5_coverage_frozen_std,beat_v5_coverage_frozen_std,8,0.7385156038767027,0.19899338856220894,0.44414827177316807,-0.09537394354132567,-0.4792819712777043,0.5348561555769848,0.5589966695387258,0.45933534449747915,0.8096878314728606
beat_v5_coverage_frozen_std,beat_v5_coverage_frozen_std,16,1.0847422009424252,0.5452199856279315,0.5087049656024328,-0.0308172497120609,-0.056522597344938814,0.36422026083648906,0.5323807421091181,0.3966737490924071,0.8488875260738629
beat_v5_detector_ensemble_coverage_frozen_std,beat_v5_detector_ensemble_coverage_frozen_std,1,0.50440429065493,0.0,0.50440429065493,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_detector_ensemble_coverage_frozen_std,beat_v5_detector_ensemble_coverage_frozen_std,2,0.566749667748773,0.062345377093843024,0.5300993455542169,0.025695054899286918,0.4121405001787126,0.654409298056839,0.5505381846342959,0.5297290128541836,0.8410387182931593
beat_v5_detector_ensemble_coverage_frozen_std,beat_v5_detector_ensemble_coverage_frozen_std,4,0.566749667748773,0.062345377093843024,0.5300993455542169,0.025695054899286918,0.4121405001787126,0.654409298056839,0.5505381846342959,0.5297290128541836,0.8410387182931593
beat_v5_detector_ensemble_coverage_frozen_std,beat_v5_detector_ensemble_coverage_frozen_std,8,0.6569372774783828,0.15253298682345284,0.4150002367800762,-0.08940405387485378,-0.5861293070877399,0.5585633393701342,0.5247797233954083,0.5039980097610481,0.8451509219055993
beat_v5_detector_ensemble_coverage_frozen_std,beat_v5_detector_ensemble_coverage_frozen_std,16,0.9291922362348419,0.42478794557991195,0.42826294104841744,-0.07614134960651253,-0.17924555157177516,0.385471815311118,0.5015505923986667,0.44648842359614416,0.8827460767949115
beat_v2_coverage_floor_q25,beat_v2_coverage_floor_q25,1,0.6413545020663471,0.0,0.6413545020663471,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v2_coverage_floor_q25,beat_v2_coverage_floor_q25,2,0.7700865824841234,0.12873208041777628,0.6498726185201594,0.008518116453812286,0.06616933732577229,0.6498726185201594,0.5311975370177182,0.5106140934046896,0.8307433072229431
beat_v2_coverage_floor_q25,beat_v2_coverage_floor_q25,4,0.8021507587293342,0.16079625666298702,0.6109749546224956,-0.030379547443851518,-0.18893193208797163,0.6109749546224956,0.5029699131515367,0.47902574280793025,0.8223808777149524
beat_v2_coverage_floor_q25,beat_v2_coverage_floor_q25,8,0.8639006193693693,0.2225461173030222,0.552986103008027,-0.08836839905832017,-0.39707904199468197,0.552986103008027,0.4708895694392238,0.47298394938337396,0.7977931950923741
